Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
NVIDIA,"Senior Developer Relations Manager, Drug Discovery","Santa Clara, CA",4.7,$105K - $191K (Glassdoor est.),"$53,014 /yr (est.)",1001 to 5000 Employees,1982,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
NVIDIA,"Senior Developer Relations Manager, Drug Discovery","Santa Clara, CA",4.7,$105K - $191K (Glassdoor est.),"$53,014 /yr (est.)",1001 to 5000 Employees,1982,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
L'Oreal,"L'Oreal, eRetail Data Science","New York, NY",3.9,$82K - $171K (Glassdoor est.),"$118,489 /yr (est.)",10000+ Employees,1909,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Apple,Data Science Engineer - Strategic Data Solutions,"Austin, TX",4.3,$72K - $136K (Glassdoor est.),"$99,249 /yr (est.)",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
C3 AI,Software Engineer - Platform,"Redwood City, CA",4.5,,"$122,316 /yr (est.)",501 to 1000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
PEX,Data Analyst / Scientist,"New York, NY",4.2,$76K - $151K (Glassdoor est.),"$106,790 /yr (est.)",51 to 200 Employees,2006,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Cheetah Technologies,Director of Catalog,"San Francisco, CA",4.3,-1,-1,1 to 50 Employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1
Deloitte,Data Engineer,"Rosslyn, VA",3.9,$72K - $134K (Glassdoor est.),"$98,034 /yr (est.)",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Eastern Bank,"Assistant Vice President, Senior Data Engineer","Lynn, MA",4.1,$81K - $174K (Glassdoor est.),"$118,777 /yr (est.)",1001 to 5000 Employees,1989,Company - Public,Banks & Credit Unions,Finance,$500 million to $1 billion (USD)
Intelligent Automation,Research Data Scientist,"Rockville, MD",3.8,$69K - $139K (Glassdoor est.),"$98,247 /yr (est.)",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
GEICO,Sr. Big Data Engineer,"Chevy Chase, MD",3.4,$79K - $147K (Glassdoor est.),"$107,877 /yr (est.)",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
